"species1"	"species2"	"species3"	"species4"	"species5"	"species6"	"species7"	"species8"	"species9"	"species10"	"species11"	"species12"	"species13"	"species14"	"species15"	"species16"	"species17"	"species18"	"species19"	"species20"	"species21"	"species22"	"species23"	"species24"	"species25"	"species26"	"species27"	"species28"	"species29"	"species30"	"species31"	"species32"	"species33"	"species34"	"species35"	"species36"	"species37"	"species38"	"species39"	"species40"	"species41"	"species42"	"species43"	"species44"	"species45"	"species46"	"species47"	"species48"	"species49"	"species50"
"region2_site3"	7984.7427086759	6992.07833729234	1104.06305864092	4808.8769298435	5925.34584194205	340.606105681237	3111.18414979253	4427.04587078317	3314.26326228027	3528.23782202819	5472.02750436157	0	3136.72620191032	5186.51234232489	3064.60779179459	3744.57851667847	458.971759831714	2789.39642085397	2724.78718048437	7807.16774358456	5379.30700829781	4468.00392726532	5775.52028230827	3895.89582584786	966.526430940167	7009.99661710828	1865.98527400245	5694.2981262904	1140.25859840177	3677.4654385743	5769.19749587357	2750.36489166213	2300.35391827987	6155.48166204996	5746.72815830594	1334.31695607513	5605.41200385411	5396.71610631067	5947.16595494214	1510.8703931136	0	5384.15829415976	4178.72601021754	4165.53301843817	7255.93909202832	5838.09546122719	3921.83542467616	493.463675759361	4782.76264305642	1271.85684338331
"region2_site3"	7047.41494910045	6736.51982555867	1980.85065992426	5094.9585169669	7039.04524246843	348.465560299146	1812.21342728205	4945.12223013411	2908.68496586002	4419.71761309474	6016.16912937322	183.813037038327	2478.38370516672	4319.72241855394	4123.83702416977	4549.13464116008	1216.28453227028	2039.14531625634	2309.98433956083	8203.26608855561	5173.92820379451	5279.20487523244	5689.66119383388	2918.35586368993	0	6582.84783958391	1283.38537704143	6119.79550252576	1756.90584864204	4555.21207586652	4230.13817929364	2051.99818521035	3001.60428304511	5736.69330233952	5122.41832458378	1303.02894738204	6049.74366799273	4967.39515736341	6096.48309905867	1041.04900870805	529.452134417666	6005.94744506917	4147.7183740844	3056.68925152928	7654.69308292557	7158.24439776839	2877.66188350444	892.748573843749	5497.49996855049	2286.24112506451
"region2_site4"	7320.93118036089	6161.7683299734	2384.6363433558	5271.32405526169	7190.9682069897	481.546928385015	1545.13196850724	5172.66681510872	2612.60458771359	3990.85224089505	5535.0076319545	0	3444.71796614835	3574.0090517624	3749.64809438187	4087.29022944292	1320.34614460763	2066.06778746413	1767.91954536156	8521.72500773417	4459.14206754476	5602.74146728653	6178.50352014946	2671.65185913334	667.721351176505	6524.65988915629	1223.49561505554	4981.2818697918	1288.12997684562	5087.53316351259	4103.06676502812	2807.69974586319	3291.87950269011	5273.2263116279	4540.92252560746	793.569614199883	5472.58296221874	5229.438152207	5432.83245231201	165.018938688185	845.989720650426	5857.67503351718	4020.71469879295	3500.09419964701	6882.21763699763	7871.48903130728	3190.16560472419	830.79585906821	5735.54960070518	1980.85227641577
"region2_site4"	8156.22896215501	6365.99625930214	1714.81476900085	5524.18231349212	6208.40651038088	10.6000868486073	2407.41284689004	4871.24510499629	2994.98601467414	4016.79304312427	5934.69064785998	240.55618375878	2539.52065359596	4742.63947010557	3404.01623154936	4033.79494263649	1261.68348551566	2120.87906990367	2835.83041062818	8447.69991923082	5437.82054804424	5329.27444403642	5869.4143313051	3787.26717830371	0	6713.25278448806	1399.05560964275	6020.73833736257	1292.71275729963	4608.4561453208	5376.97446294334	2493.65528646423	2556.61847581949	6305.28280484876	4416.32642406649	1619.58520570362	5331.4941234192	5399.94785764903	6602.13457087277	1155.83301593017	301.088856700509	6469.67146678727	4537.15936731791	3292.17908416326	7343.38344656225	6517.52599961256	3876.94452714047	947.226623004545	5069.03163415985	1931.24198367115
"region2_site4"	6542.90506447987	6890.65769890033	2183.37853519219	6179.10889451015	7405.93771254118	1312.72566241014	968.421623440495	5542.34975890532	2658.51049281371	4452.34461385153	5690.71188112022	1126.08991385937	3912.27706222085	3705.53558932711	4180.98869645668	4708.99107535316	652.166893131075	1411.1131289486	1956.32657318527	7030.15517950015	3706.7041710503	6043.53862776532	5719.96863195751	2446.92656394582	1118.720876199	6825.64246320994	803.159828664096	5034.34241983169	2066.97816191616	5274.67376316783	3635.25523187553	2950.57777527596	3575.18595420963	5356.95446038821	4399.9145675343	0	6106.03688051742	5788.13084904732	5158.05916626708	0	932.476279165806	4975.5100504758	3489.73234915768	2923.23217599566	6354.7071259824	8116.68227388748	3134.24404708025	186.408646367928	5979.82258393363	1893.9575817284
"region2_site4"	7504.51865075529	6104.48041499783	1731.53461485517	4583.55902516249	7380.74423346934	305.040784143327	1702.33095900433	5505.70592451884	3086.24311194875	4057.87955948488	5062.53507197474	0	3813.57251578498	3432.3997058194	4165.96028580083	3401.510155771	1757.6133270371	2740.41146245448	2177.76642321086	9018.88026885523	4273.71287280005	5632.02640769095	6353.47817447223	3422.81031668314	60.3766600483814	7095.71512776822	2286.57156187515	6213.74535962682	1653.97913683075	4684.38867465511	4057.39236226457	3522.47667034466	2559.48293764427	6322.97711499737	4449.17562721219	989.47433471276	5039.08654967529	4712.47923299529	5409.62265813108	1050.07676239422	919.600448918916	6225.79214152271	4111.1795262297	3270.23476183485	7910.3412417635	7350.48807834814	2263.65758110156	1180.09668514335	5050.52403942021	2093.67488470801
"region3_site5"	7627.60373449117	6707.8557808455	1897.76379834038	6112.39635046152	5730.40812665789	544.612879548347	2308.65342901966	5077.33080421022	2344.92225242881	3871.22967233658	5380.71875881292	1938.67411993409	3530.64220585769	5398.26286204202	3479.76179896903	4050.12054453276	0	1448.18088543949	2730.35940472105	6804.9455837964	4564.87337552291	6523.46195644319	5409.95937610023	3543.68928840006	541.871268857331	8171.73223657666	1384.10041276661	5913.31450188916	871.264265284559	4940.60703588166	4609.70080111979	3159.95102836602	2175.25081781989	6833.93520454561	4237.45350438157	880.861618251678	6025.60532030364	5751.03035526383	6581.90262076754	0	1087.76732252914	5940.00926652392	4354.70899881205	2606.38228012611	6366.46148978974	6156.42095024835	3637.70067159414	685.757456115508	5930.36443724644	798.775354721143
"region3_site5"	6180.28407281423	6885.34498439631	1271.48551015295	5132.14556743468	5718.24665735377	565.526177659405	2769.25221164217	4787.50121159677	2117.84936181796	4824.08981245333	6692.67987183283	1232.63170068189	3594.23240044644	5324.9337843752	3758.88618517871	4710.36069355558	0	2425.79019726023	1937.40913462066	7869.61065572011	6042.47299571861	5172.73411462498	5591.7889788827	3237.3703580092	1575.56902028575	7037.17819143644	883.106896467457	4706.7254530922	1027.74284346124	5037.39493220542	3792.73608824679	2857.23589012778	3019.00437996477	5558.57944535864	5132.28941908315	449.125968724876	6167.49450653783	5506.37616416904	5762.91709813421	322.800379566743	810.621477201326	4412.39188729968	3297.11382764237	2868.35446899088	7418.01841600535	5953.52015381735	3629.79484107034	198.451221652074	6375.04950012185	793.201360469493
"region3_site5"	6832.02575829993	7503.38492229659	964.508384343317	5198.56004620079	6176.34319851266	974.600589638342	2556.7050933636	5155.53146518942	3577.25807543269	4654.13296627157	5649.30981783548	443.733859968599	3769.59530253292	4893.68641997048	4100.29183361564	4413.51863817942	540.077377759629	2744.56526416224	2948.65209295624	7516.95497076102	5153.68949502266	5310.69835810222	5976.53045527916	4229.35087129149	549.89543267669	7651.43547765036	2261.02521134508	6333.11034774554	1549.84408055584	4496.54521910761	4331.4261992815	3140.25723797702	2013.4596813337	6617.56678166071	5248.97605333516	864.71219482408	5808.62820134455	5040.96103703294	5802.37766994337	1890.43832441481	937.933093127976	4995.726532448	3668.76481348207	2941.77789579282	7614.20335291621	6030.48639627727	2978.99527600321	46.8140998651507	5258.36092084435	1642.61175031291
"region3_site5"	6602.86187580513	7159.0874911402	1556.57343155419	4842.50618027444	5746.59713478647	377.867967666303	2904.10294054912	4524.14059661835	2566.44531070012	4506.19800725284	6196.5046931153	894.025979851966	2861.50725792668	5570.53734272257	3813.25445575158	4689.68345332729	103.333627062805	2396.99154194774	2333.37561303407	7711.85040411314	6087.64583447813	5218.96694817213	5537.34670572625	3386.52132020503	586.703962865875	7429.95055164956	1468.73143746974	5749.05415095947	812.353590862627	4529.20275350648	4085.36546235021	2244.59967916131	2384.35127685335	5980.63511335385	5717.57365469808	1284.10409020518	6433.73180959073	4950.31478657425	6330.98967446871	1096.83970573933	889.103316704001	5230.72680409829	3910.87396281376	2913.56595308048	7557.18400063261	5754.43050968434	3209.09526496871	498.24447640842	6098.72249793556	1169.4093130486
"region3_site6"	7121.94240782231	6648.08919750813	2113.64208730318	5162.90375355947	6010.57474233901	0	2437.56533324944	4644.24829998224	2153.01389538295	4232.99967280694	6027.25856245239	1410.45998784366	2280.69300192658	5517.49104066203	3858.08841173027	4466.1298483324	389.359835108491	1684.29531544888	2394.99368597188	7684.33859842644	5680.72232798033	5914.3933227664	5231.23681103746	3016.19395588686	0	7562.13366122996	1201.39481245796	6315.4765821141	894.246683301931	4639.74188407515	4151.75267388864	2021.49793633662	2426.76506893375	6348.54165995413	5072.78324787587	1615.5354877651	6498.72271228277	5005.578028782	6942.09253334097	364.838510382198	920.18964310492	6329.48125349247	4502.34354416514	2509.87653377256	7427.8046375438	6085.96097047786	3023.2362258237	1187.09604063608	6139.05064989628	1314.90265639481
"region3_site6"	6544.5469871974	7975.98516157069	1499.56825567752	4821.48462613139	6064.89468756137	913.81665585748	2761.27349531195	4646.52058390478	3649.6695370794	4585.94356453056	5560.173051826	436.93533217106	2933.67326093236	5339.71179602972	4196.99951598105	4939.99296005291	314.066088234801	2629.84811552495	2889.91866059545	7203.13320497411	5644.20861876447	5225.82922835604	5819.29347145413	3866.98714693954	0	7882.24777070599	2402.62440787044	6702.18123080924	1024.91606553632	4207.19204419841	4055.12153227146	2088.64465866867	1724.76174565447	6353.31611095174	6312.70419404155	1539.55125874964	6573.35702618333	4435.44961041516	6233.72298351463	2365.63677035326	1220.36351709833	5258.23392506397	3987.76164157688	2945.57199470216	7577.74093477036	5887.48638432693	2626.04337898681	102.754963775652	5663.732562216	1827.92161407768
"region3_site6"	7595.08375627531	7101.41540225212	1664.25170740684	5199.76714462067	5464.73895917441	352.061812210608	3060.17588099779	4445.76611449421	2758.07268714222	3719.67244313326	5436.98690045348	861.666081300411	2994.40762084277	5789.88736334446	3281.21203721797	4143.88794681014	0	2156.6488531774	2726.57601221358	7152.87922757416	5459.61202093452	5508.96652266542	5500.19641646145	3702.31162966081	537.14975735022	7932.49601492683	1774.01064530577	5986.0739326413	518.878023042836	4211.74862337646	4986.76961656837	2525.15022042286	1908.76478364092	6511.19732156155	5540.43684142029	1483.35485749764	6220.43408654339	5232.74255049697	6596.34525857487	873.338925605756	727.630986554248	5726.34081963068	4408.75340863644	3271.16502445162	6858.19073043641	5573.83461107852	3629.80305583211	601.767358326272	5691.59742376945	883.460418186589
"region3_site6"	7253.65255787888	6785.20432237632	1791.33558522705	5199.51977230619	6487.45740798231	303.496611747271	2246.71109000558	4685.39616391112	2621.79475474989	4076.01685512082	5989.53914862645	494.122137665825	2599.17405798718	4948.94557307468	3687.4417705143	4367.90566436553	579.986519891092	1937.02155498956	2335.96785075882	7685.53105452872	5256.49660993961	5197.39044610738	5394.93122255008	2961.34473061768	419.324661356354	6834.09689275385	1083.48479453723	5804.54132482151	1487.02728852233	4312.07884396431	4679.85859211303	2188.08218679042	2920.98180483973	5842.9767277617	5272.37268994936	1183.8529177646	6198.61427233153	5353.67955208926	6213.47009560356	565.18656196375	245.938286938965	5727.00647960028	4161.63975689193	3253.92385704313	7287.17091635	6592.13002870084	3384.68859721371	817.008947841106	5556.42891163675	1607.52697490367
"region4_site7"	5902.5239750973	6118.49666670392	2224.26175372983	4379.94550026794	6351.31195693002	36.6188115352611	2265.7739926424	4972.23139226281	1618.82839596825	4952.2991079442	6454.228166382	1003.41716979286	3312.94356363267	4543.63677767805	4300.25557046975	4574.17126442319	742.905571522733	2478.49666693729	1267.5807881758	9139.50867913355	6095.65609692372	5838.58640787228	5976.83263713952	2613.66195135158	580.150148127928	7148.44959183541	1187.47042640014	4992.9766572024	499.349937731097	5617.24713131493	2511.48306544099	2642.70031770628	2998.42449684016	5367.40991529941	4890.90766892756	966.336554108831	6091.06864229464	4510.43016122436	5876.63749912092	166.029439090508	1772.74546252909	5487.30922770491	3660.79510738096	2400.63444482953	7972.69561564008	6681.58628680655	2423.53641204453	1046.98788687698	7009.90217229944	1234.39856126364
"region4_site7"	6953.9689566164	7093.06669293948	2272.46299577332	5246.25572844364	6321.70947938768	806.487902858703	2267.97866386452	4851.44597281	3131.1161543954	4254.9251847025	5432.88669084084	364.80432725061	3361.63549997559	4453.92256111433	3789.8408515807	4686.39108582306	739.311571848705	2335.2909857658	2261.98039468157	7873.74204235681	5162.14254697022	5642.11206216967	6290.82413629075	3359.65937635851	448.454927501206	7372.02284985385	1884.70268418253	5415.87334181453	549.334346939677	5031.35403282403	3955.11373312702	2426.5910551714	2348.32758154621	5612.8807528634	5377.61967111791	1247.47502071938	5954.8720671108	4764.43096576172	5864.97442836252	1278.25437805009	1502.05338653722	5545.79593839933	4048.53567269656	3267.91146958538	6759.82958601061	6957.53968082248	3170.10523815034	251.310263564284	6050.90406452798	1826.00980174232
"region4_site7"	8016.39326343717	6955.23017991363	2396.30455956046	5654.25265586906	5515.56569831694	289.652294454836	2878.41369028351	4297.81006041739	3073.96556029703	3739.08446525945	5644.49845473866	531.358504575074	2348.76280628766	5305.85368496994	2999.4842068985	4640.82785784888	602.434715899513	1985.11774462628	2741.20254796914	7759.19136259698	5832.00495148216	5418.88401719083	6022.95332078634	3662.41962979226	108.246572481815	7178.75949267897	1508.42938376965	5458.26634044927	70.7117477252823	4722.52319569828	5295.13558021936	1775.54680276862	2145.67899750415	5784.66420302786	5341.58456979466	2020.31830166673	5911.55675687566	5137.55158435696	6835.14810129976	1355.1963253676	923.911427870779	6260.44549935159	4722.24378274917	3591.96797985	6355.98303438341	6339.43105166897	4294.04771563385	458.024842429798	5791.75791810286	1672.32371855467
"region4_site7"	7009.64854536813	7270.10939232862	2667.9787297174	5390.27523906476	6275.9060458229	908.066197087633	2282.35036684847	4622.67272381644	3321.72312575892	4180.52095095313	5443.44700688634	190.19003231823	3050.60292677901	4382.43089000968	3609.91473746547	5052.04114890634	796.558260083327	2254.99098361734	2214.65714794516	7847.18356021467	5348.16720448165	5493.9510997254	6472.70226330638	3226.80056582335	414.107380858317	7116.99682773704	1782.52247861777	5073.61931228928	209.445643241136	5123.95265526102	4071.7372684248	1906.23415050112	2419.02062826485	5124.00219760195	5694.02620402107	1492.75638688926	6059.66786922056	4676.51122232395	5911.72814738048	1535.97703315512	1603.33178949307	5573.8108594083	4152.83670509631	3552.32756361737	6353.75398102694	7250.22775515651	3485.86326264733	36.2582626295567	6205.28212125639	2097.50140850917
"region4_site8"	7662.09378644673	5891.18570725858	1943.44849514375	5743.13622922532	5911.17115657262	0	2301.20723823381	5209.07115139523	2307.87470801161	4537.57476615474	6312.36653587396	1200.60457399872	3011.26881732008	4663.23504488793	3612.9402636661	4168.08852527205	1254.29501221376	2018.93199478293	2488.19452263253	8941.70898464849	5721.26182356254	6074.75798772473	6078.9610235772	3767.77664983938	3.96661712474548	6974.42298549173	1164.85375810528	5519.1920905176	831.09780406939	5628.74583809467	4420.43532205607	2947.46982198407	2632.77261010191	6303.40722563252	3532.95949851302	1336.01172809374	5147.93943829224	5378.96344744223	6665.28969578634	495.723041437063	1149.59324334015	6455.27314925717	4321.03449490946	2547.71696767498	7355.60638300479	6548.94820912033	3785.12085459547	1010.38137226474	5888.71746160025	1599.17614945447
"region4_site8"	7463.51075780527	6648.14179153121	1998.64230072016	5151.88744901553	7163.85115989364	650.296654028389	1770.19168402591	5026.13360437837	3134.65571205333	3847.19189590793	5331.27412296738	0	3343.90207283493	3832.47222800456	3717.75869555468	4057.68739399059	1165.52017229551	2251.14523649073	2148.86568655573	8067.37636369502	4389.94270561155	5201.78809836926	6049.18732256675	2973.08461170015	632.32856422666	6636.60649142624	1555.82870086066	5466.00636250299	1570.01307716231	4480.6024430132	4595.44030615493	2702.93746754745	3010.3898092964	5534.52019545336	5096.71500587381	904.112839291322	5614.11196342372	5212.14873137653	5426.9517244971	784.260954604458	462.909455628733	5673.11610830178	4041.48676247527	3767.82559345975	6991.43675313263	7528.72017975384	3176.19036980205	639.305520112468	5241.89329516959	2060.51429143937
"region4_site8"	6682.09172779442	7064.72542105916	935.831651752328	5074.38603754396	6384.84544790906	718.96737317256	2381.86761745587	5313.60091812903	3266.53064330086	4936.94164251034	6068.83962078268	417.133052207914	3696.22570419133	4603.235215302	4257.69193609695	4367.77277518068	894.211227436839	2803.21994140337	2705.16902919231	8204.43140519211	5388.9378987253	5278.30041611095	6024.11726830736	4072.1250905572	489.837836844117	7227.99459233216	1967.9265622275	6154.96576886798	1757.30804768924	4777.66210261748	4058.69259713545	3224.46193991709	2387.6844498456	6454.06702069109	4814.80083665871	775.808037998901	5576.76098190161	5046.19826255432	5745.47305896453	1687.27211043125	886.922293502983	5099.68869190126	3551.19749090357	2751.5060317142	8043.76218612102	6232.7618518933	2889.00614222167	293.426212137217	5337.57703213293	1768.61815798367
"region4_site8"	7839.79793138768	6260.80627669257	2596.74936325565	5838.53531672141	6129.07165517436	23.2581845497754	2244.03095567082	4725.93789704913	2924.516559058	4445.16438285337	6464.6417616352	369.368139059543	2057.05548116485	4337.81591217136	3359.23646392463	4902.25426452401	1690.26272974761	1984.84189835185	2468.38356225921	9152.22073789849	6180.55381012884	5406.79152859581	6422.59099557951	3483.71882352637	0	6065.69588457138	961.169732534217	5094.85057819723	545.08565572564	5545.57573542085	4852.65480602048	1679.88257569466	2923.50672065195	5255.13144241009	4322.89926813062	1968.29741702878	5301.89413298159	5116.69671386645	6728.53431698118	1406.37895185436	994.566752980473	6617.360509661	4551.17449816764	3263.54168481962	6920.08648601968	7260.94388268353	4309.0660132416	678.438082410875	5846.21790747164	2519.71308804661
