"wholegrains"	"vegetables"	"fruits"	"sugar"	"dairy"	"meat"
"Subject_23"	0.0604368912644217	0.139394648684615	0.02399974661641	0.266889027238151	0.281346797689471	0.227932888506931
"Subject_24"	0.227007170704581	0.20863368728912	0.127193672776998	0.153392616366644	0.0633349263849577	0.220437926477699
"Subject_25"	0.00336616178194144	0.079429698212507	0.0570402926212119	0.294790114275874	0.308247437392495	0.257126295715971
"Subject_26"	0.427042950130842	0.258494650875594	0.224410747263188	0.0328201022591998	0.037973382034044	0.0192581674371326
"Subject_27"	0.198341932623931	0.0247979665172664	0.230354665956104	0.0843283224402517	0.171880855774517	0.290296256687931
"Subject_28"	0.150464923258703	0.06601493092552	0.134560699064788	0.2085547538967	0.127336292908098	0.31306839994619
"Subject_29"	0.184235873686463	0.118361370480774	0.108940066598161	0.0672871948502445	0.161420317368107	0.35975517701625
"Subject_30"	0.240674817432486	0.209483991578082	0.048195526033559	0.155774607099255	0.163254939220234	0.182616118636384
"Subject_31"	0.186043452349165	0.157056627736458	0.164823097154923	0.0839349435794776	0.164308564545349	0.243833314634627
"Subject_32"	0.481599600694626	0.200237486795051	0.314791769910094	0.00112371420007628	0.00112371420007628	0.00112371420007628
"Subject_33"	0.0294460516247945	0.127554732266451	0.0118623964851123	0.265964630940532	0.238671299228544	0.326500889454566
"Subject_34"	0.205298904472224	0.180600621516892	0.12866982603345	0.0754707413105935	0.181577266632526	0.228382640034315
"Subject_35"	0.312375739781011	0.240140258059488	0.10479503208981	0.103882559066522	0.000962656340132459	0.237843754663037
"Subject_36"	0.132286999663769	0.201489952840061	0.0968037254134621	0.0354541408323478	0.142567988648696	0.391397192601664
"Subject_37"	0.291803734840232	0.312788969030515	0.111866451253367	0.103862292668276	0.000913723480857479	0.178764828726752
"Subject_38"	0.155400930737956	0.151291016137273	0.136602045478392	0.0754789768786601	0.164095921163822	0.317131109603896
"Subject_39"	0.0343244511091646	0.080857029640955	0.0566819728441766	0.289333313151353	0.246600337008391	0.29220289624596
"Subject_40"	0.252567922564267	0.0340294127684413	0.114921982914785	0.126248950722118	0.2104090569727	0.261822674057689
"Subject_41"	0.351559277606977	0.308780220904069	0.336439689165431	0.00107360410784085	0.00107360410784085	0.00107360410784085
"Subject_42"	0.259531940287652	0.171948656968055	0.102904413357344	0.118385217930754	0.0544238443809414	0.292805927075253
"Subject_43"	0.000991110893751085	0.00926975407231729	0.000991110893751085	0.339967520823403	0.394600287499115	0.254180215817663
"Subject_44"	0.0988105840573761	0.211818342301962	0.15318763615292	0.0431403421976014	0.142449571632573	0.350593523657567
"Subject_45"	0.136898840455302	0.142621878721969	0.126285412930067	0.15718156380175	0.157359903248257	0.279652400842656
"Subject_46"	0.423150944537251	0.215413692199324	0.26284100357337	0.0381570008765573	0.0595349640203661	0.000902394793132172
"Subject_47"	0.383546975628387	0.191485521497483	0.269445427380586	0.0465721626266858	0.0596431994950183	0.0493067133718397
"Subject_48"	0.00111000749189354	0.0786846202549093	0.00111000749189354	0.368889537652087	0.285376980544115	0.264828846565102
"Subject_49"	0.182837044340219	0.0707092193357662	0.0976578715288052	0.126115134624802	0.144101695992493	0.378579034177915
"Subject_50"	0.380365781449183	0.291208765866256	0.210216076694476	0.0280907024977859	0.0425786671848422	0.0475400063074566
"Subject_51"	0.218277863951249	0.10535754961603	0.113788424249212	0.087964933007744	0.226359432443731	0.248251796732034
"Subject_52"	0.207042671701857	0.221721177838433	0.0452225929922717	0.132725739247928	0.117566504263476	0.275721313956034
"Subject_53"	0.261416714309791	0.239927543572033	0.0634533339358664	0.167853564388938	0.000979333575392607	0.266369510217979
"Subject_54"	0.179210711667245	0.252599917528064	0.153898421675327	0.15792008481693	0.000909234612691922	0.255461629699743
"Subject_55"	0.223841457057027	0.106360582365747	0.145180990371292	0.120856344003607	0.0791704977336302	0.324590128468697
"Subject_56"	0.228138957356301	0.132374281140526	0.198943681915343	0.10995298375638	0.115327165247922	0.215262930583529
"Subject_57"	0.153434247943463	0.20215121072885	0.0464361955578497	0.172672084636059	0.132742510838828	0.292563750294951
"Subject_58"	0.196254464964406	0.23904863473344	0.149254324479622	0.148498884178965	0.0147908907974974	0.25215280084607
"Subject_59"	0.188912381623351	0.0637520999822971	0.128381895699955	0.150130456192114	0.152496592130072	0.31632657437221
"Subject_60"	0.223975557008406	0.142407900803334	0.0930959866941574	0.141890429017706	0.0996068441189641	0.299023282357433
"Subject_61"	0.278992619431653	0.231460830567538	0.11027684623148	0.136965094549458	0.0478697771471078	0.194434832072764
