"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"
"probiotic3"	1	2	146	22	3	268	125	122	100	95	90	80	68	60	46	52	46	45	41	50	39	42	34	39	48	46	44	31	28	27	31	36	37	28	31	25	26	29	29	25	30	31	25	22	24	22	227	20	21	20	20	18	12	15	16	17	14	16	14	11	5	11	10	9	10	8	9	4	13	8	5	7	7	7	7	6	179	3	8	6	3	2	5	4	5	2	2	3	3	6	3	3	3	3	1	3	2	453	3	1	1	1	3	0	2	432	3	1	2	2	3	0	1	0	0	1	0	0	1	0
"probiotic4"	2	4	223	37	2	420	183	182	150	130	130	147	110	91	87	81	70	68	76	70	63	64	65	72	54	48	58	66	47	56	48	48	57	51	47	43	42	43	47	39	41	52	41	49	26	31	360	30	30	33	27	38	22	19	27	17	20	14	16	19	15	17	15	13	12	11	14	15	10	16	13	8	10	13	14	10	288	7	10	12	7	4	6	6	7	4	2	3	9	5	6	5	3	1	2	3	1	711	3	3	5	2	1	0	3	685	3	3	1	3	2	1	1	0	0	2	0	0	0	0
"probiotic5"	5	6	281	33	7	480	223	200	200	180	151	158	118	121	98	119	81	73	81	79	82	86	66	73	74	73	69	59	69	73	50	64	56	41	53	60	66	49	56	50	49	47	36	47	54	37	429	37	32	34	38	37	38	29	25	26	32	25	23	26	20	21	19	14	16	16	7	14	15	11	16	10	14	13	8	16	297	11	13	7	10	4	10	10	4	8	10	4	9	4	3	4	1	3	5	6	4	907	4	2	0	7	1	0	2	816	5	3	3	0	4	0	1	0	0	0	2	1	0	1
"probiotic6"	2	2	230	37	12	464	210	205	173	168	157	162	96	113	92	91	103	74	91	83	81	62	78	71	82	56	67	50	70	49	46	45	44	54	52	49	50	48	35	52	54	50	37	40	45	46	400	41	41	37	33	29	42	27	24	21	13	17	25	24	20	15	15	13	15	11	14	9	19	16	12	15	8	14	15	13	272	11	9	12	5	4	8	6	10	4	10	4	6	7	4	5	7	7	3	3	2	832	2	0	2	3	3	2	3	760	3	4	1	4	0	1	1	0	0	1	0	1	1	0
"probiotic7"	2	1	168	21	8	304	130	151	122	105	92	123	81	58	65	75	64	50	50	54	67	54	45	50	41	47	45	27	37	43	47	39	30	41	27	33	30	34	39	27	40	33	40	24	34	29	238	39	26	21	23	23	33	22	19	29	27	16	23	17	14	3	7	9	8	10	11	6	7	8	12	12	4	10	7	2	196	5	10	8	5	5	4	7	6	5	6	7	4	0	4	2	2	1	1	1	1	623	0	2	2	0	2	0	0	492	1	3	2	2	1	1	0	0	2	1	0	0	1	0
"probiotic8"	5	1	354	59	21	671	287	290	257	216	206	230	172	154	139	132	132	110	101	103	97	95	98	102	103	102	101	80	86	77	85	84	80	96	61	58	63	72	67	65	59	64	49	62	51	50	522	42	53	42	38	42	36	37	44	38	41	40	31	34	32	20	19	16	19	16	14	17	19	21	20	18	19	18	8	9	418	19	10	8	9	13	8	9	6	11	4	11	11	7	8	4	6	6	6	9	6	1141	4	3	4	3	2	1	4	1061	2	4	1	1	0	3	3	1	1	1	1	1	2	0
"vegan1"	36	23	34	45	3	190	158	140	138	127	105	113	92	66	77	62	69	49	43	46	52	44	75	46	44	43	43	42	46	36	35	30	269	40	40	35	50	45	35	44	29	25	619	22	318	29	29	25	524	25	17	20	22	25	19	22	16	16	7	16	17	14	13	15	8	7	8	9	15	10	5	5	12	8	8	12	6	3	4	9	6	5	6	8	6	4	2	4	4	4	4	2	2	3	3	3	0	3	0	211	1	3	1	4	0	2	4	0	2	2	0	0	1	0	3	1	1	1	1	1
"vegan2"	24	22	35	45	5	231	186	171	170	135	124	137	83	101	80	85	72	79	42	52	56	59	55	61	51	51	56	47	35	40	51	46	313	51	38	33	50	47	38	50	42	34	703	30	390	45	29	46	627	31	30	32	28	26	34	23	17	21	10	16	17	16	8	18	10	11	10	15	9	12	8	9	4	9	8	7	6	10	10	11	6	7	9	7	14	12	5	2	1	5	8	6	5	4	8	5	5	2	4	222	2	2	2	4	1	5	0	3	1	2	4	1	0	0	1	0	1	2	0	0
"vegan3"	38	33	50	67	6	300	265	227	222	193	175	205	128	127	101	105	107	88	98	85	85	100	79	79	69	92	82	68	65	59	73	55	459	62	65	66	58	58	60	58	51	59	968	46	589	56	41	51	893	41	44	29	48	34	23	22	23	18	21	22	26	19	14	11	19	19	10	22	21	17	11	7	14	12	16	11	12	8	10	10	13	9	10	15	14	11	8	6	5	6	12	4	6	5	3	8	5	8	2	366	6	2	6	3	1	4	3	1	6	0	1	0	1	0	0	1	0	0	0	0
"vegan4"	47	32	32	59	3	246	244	195	196	156	144	149	94	96	79	93	106	80	69	70	58	58	77	58	54	60	56	60	48	52	55	44	326	60	58	55	42	51	37	35	59	40	759	38	481	33	35	35	773	30	29	25	36	21	31	20	23	23	20	27	23	16	19	13	16	11	9	15	12	8	9	17	13	22	12	5	4	6	9	8	8	3	4	5	6	4	6	5	5	4	5	4	2	3	5	7	4	2	3	296	3	3	2	5	2	2	1	0	2	0	0	1	0	0	0	0	1	0	2	3
"vegan5"	78	60	67	92	4	373	342	316	297	256	244	246	166	140	150	125	133	147	122	119	117	111	145	104	87	120	96	97	88	79	78	84	629	73	75	82	72	75	76	76	60	68	1299	79	744	58	64	47	1255	46	62	67	54	48	36	44	41	28	33	32	48	26	28	25	21	15	23	22	22	24	24	22	27	17	12	10	16	14	11	12	17	13	9	7	10	10	14	6	7	7	6	8	6	6	5	1	3	6	8	462	2	3	0	6	3	1	4	3	2	2	3	1	2	1	3	0	0	1	3	0
"vegan6"	64	51	44	63	5	316	250	265	201	183	187	184	123	139	128	124	87	96	102	85	83	88	89	71	91	76	82	61	75	64	55	57	500	61	71	52	41	55	67	46	62	49	1008	51	555	53	48	42	922	36	37	41	38	40	27	25	29	31	14	17	16	17	17	19	20	14	17	15	12	16	11	17	14	21	19	14	7	14	13	9	12	11	12	6	7	6	5	9	6	8	2	6	5	3	4	4	9	2	1	346	5	5	1	1	4	6	2	5	6	6	1	1	0	0	1	0	0	0	0	0
"vegan7"	55	44	51	69	3	336	253	214	190	212	189	190	158	132	105	117	113	114	103	93	78	98	87	82	91	84	85	81	71	85	58	83	471	75	59	55	82	60	71	62	45	54	1063	61	588	45	44	54	1009	48	56	44	38	33	32	38	40	25	26	24	28	26	14	14	16	18	21	20	16	13	18	10	12	20	8	9	5	16	12	17	13	8	14	10	5	8	11	6	8	7	3	5	8	7	5	8	3	2	4	407	4	5	3	1	1	4	2	3	3	0	2	1	1	3	0	0	0	1	0	2
"vegan8"	36	22	38	64	2	222	210	197	181	142	136	121	102	90	87	76	67	55	66	67	74	52	53	69	42	66	49	40	56	55	52	38	380	52	39	36	35	51	44	40	51	35	678	29	448	32	40	29	714	29	35	26	30	27	27	25	20	20	14	23	14	19	8	15	9	12	9	14	15	15	7	12	13	9	10	9	8	8	7	16	9	3	5	3	4	8	6	3	6	5	2	5	2	3	2	1	5	7	5	319	1	3	3	2	2	1	0	2	1	5	0	0	1	1	0	2	2	0	0	0
"both1"	49	36	38	39	4	5	6	303	44	9	6	4	29	274	17	124	89	91	67	88	81	94	56	74	63	79	79	72	78	55	70	74	476	61	59	55	54	45	64	50	54	56	900	38	518	48	194	37	855	121	38	25	29	34	24	31	30	24	28	24	23	20	12	20	25	18	15	15	22	101	24	15	16	19	13	8	166	12	19	8	10	11	8	8	9	12	9	15	6	9	2	4	2	6	4	2	0	180	4	356	169	5	4	3	3	250	1	2	2	1	1	1	1	3	2	0	1	1	2	0
"both2"	28	23	23	24	1	2	1	148	20	8	0	3	27	126	4	63	59	43	47	39	46	52	37	43	51	38	33	31	30	37	41	28	255	32	20	38	24	26	27	36	30	16	493	21	274	20	133	28	458	78	23	24	20	13	12	11	11	16	14	14	11	13	7	11	8	13	9	14	6	51	11	3	6	8	4	7	95	3	9	6	3	6	4	6	1	4	2	2	2	3	4	2	2	1	4	1	0	89	4	170	94	1	1	1	2	130	0	1	2	3	0	0	3	0	2	0	0	0	0	0
"both3"	42	32	37	45	0	5	2	207	30	5	2	2	25	224	13	71	70	79	62	60	68	59	76	53	52	65	60	65	65	56	41	56	328	37	24	46	40	50	43	39	39	40	733	37	415	22	156	27	652	100	23	21	30	20	30	18	20	14	18	21	16	14	12	17	18	14	13	12	9	81	6	11	15	9	10	9	126	9	9	12	8	6	4	9	3	7	4	6	2	4	4	4	6	1	4	6	6	118	4	264	142	2	2	1	1	196	2	1	1	1	2	3	0	3	1	1	0	1	1	0
"both4"	42	28	33	55	0	3	4	224	42	10	3	3	33	211	13	85	73	72	70	69	70	59	65	62	67	68	61	70	48	53	67	46	350	34	56	41	55	40	46	47	42	38	781	51	464	33	184	32	714	83	28	33	43	21	29	19	18	24	22	20	19	25	18	16	17	12	9	9	12	93	7	13	11	17	8	15	158	9	10	5	9	7	8	7	2	5	2	9	4	3	1	2	4	5	3	3	1	171	4	274	150	1	3	3	3	208	2	2	2	3	1	0	2	0	0	0	0	0	0	1
"both5"	71	54	61	87	2	7	2	410	57	14	4	1	37	353	24	125	150	133	88	105	98	118	101	100	114	99	99	90	104	74	69	91	557	83	88	70	90	67	81	40	67	67	1230	61	660	45	283	55	1147	167	55	47	43	52	27	39	41	37	29	18	22	28	34	9	23	23	25	15	15	124	21	24	9	18	13	12	236	14	12	9	12	20	13	10	8	15	5	8	4	11	7	6	9	7	8	5	6	238	4	440	245	5	1	3	2	383	1	2	5	5	4	2	2	0	0	1	0	2	2	0
"both6"	81	53	68	86	3	6	4	383	53	13	4	1	59	361	15	166	134	86	133	127	116	119	92	91	103	106	90	89	73	95	81	83	585	80	69	90	68	101	79	85	69	80	1322	52	692	57	291	44	1180	187	60	53	53	45	48	38	38	26	27	35	36	27	29	16	17	20	18	13	24	155	16	23	18	13	8	15	272	16	17	9	21	13	13	8	8	13	13	7	9	10	5	8	7	6	5	9	0	231	5	434	234	4	3	5	4	350	3	7	4	6	2	1	3	0	0	0	4	1	1	0
"both7"	50	49	53	72	6	3	4	346	44	7	3	2	55	316	16	126	102	98	83	105	91	102	98	84	82	85	88	74	75	64	72	68	469	71	62	62	44	88	59	55	61	60	1059	48	611	51	227	53	1015	122	37	40	46	40	33	39	20	25	19	19	19	18	30	20	16	22	21	6	17	108	18	13	23	12	11	16	203	15	11	11	15	12	10	10	4	10	11	11	7	2	7	6	6	9	3	1	4	204	1	395	183	3	2	3	9	291	0	1	3	4	1	4	1	2	0	3	1	1	0	0
"both8"	54	46	57	75	3	7	3	369	57	15	5	1	47	295	17	136	111	102	99	100	105	101	113	113	82	97	78	82	76	90	73	76	514	79	69	70	74	67	68	61	59	58	1152	64	678	54	278	43	1099	151	54	63	38	38	36	33	24	29	35	29	20	16	16	17	20	24	18	19	20	123	16	11	18	18	17	15	252	16	9	13	15	16	9	9	13	8	8	9	8	8	6	5	7	3	3	3	9	198	5	386	221	7	1	2	6	301	3	2	5	2	1	2	1	1	2	2	1	1	0	1
