M_t,t,Initial_percent_sugars,Initial_percent_cellulose,Initial_percent_lignin,CDI
67.62,3.07,36.24,44.58,19.18,0.5497
55.87,4.06,36.24,44.58,19.18,0.5497
51.16,5.07,36.24,44.58,19.18,0.5497
48.35,6.14,36.24,44.58,19.18,0.5497
44.04,7.11,36.24,44.58,19.18,0.5497
18.17,8.12,36.24,44.58,19.18,0.5497
34.87,9.13,36.24,44.58,19.18,0.5497
90.39,1.04,37.11,39.38,23.51,0.5497
82.55,2.04,37.11,39.38,23.51,0.5497
70.49,3.07,37.11,39.38,23.51,0.5497
61.15,4.06,37.11,39.38,23.51,0.5497
64.41,5.08,37.11,39.38,23.51,0.5497
65.70,6.15,37.11,39.38,23.51,0.5497
28.47,7.10,37.11,39.38,23.51,0.5497
54.36,8.11,37.11,39.38,23.51,0.5497
46.66,9.13,37.11,39.38,23.51,0.5497
90.16,1.04,37.41,35.92,26.67,0.5497
86.58,2.04,37.41,35.92,26.67,0.5497
74.69,3.07,37.41,35.92,26.67,0.5497
72.05,4.07,37.41,35.92,26.67,0.5497
62.71,5.08,37.41,35.92,26.67,0.5497
62.23,6.15,37.41,35.92,26.67,0.5497
55.75,7.10,37.41,35.92,26.67,0.5497
55.87,8.11,37.41,35.92,26.67,0.5497
47.14,9.13,37.41,35.92,26.67,0.5497
81.29,1.04,10.64,73.15,16.21,0.5497
66.64,2.04,10.64,73.15,16.21,0.5497
50.61,3.07,10.64,73.15,16.21,0.5497
43.22,4.06,10.64,73.15,16.21,0.5497
35.07,5.08,10.64,73.15,16.21,0.5497
28.64,6.15,10.64,73.15,16.21,0.5497
23.62,7.09,10.64,73.15,16.21,0.5497
18.65,8.11,10.64,73.15,16.21,0.5497
19.04,9.13,10.64,73.15,16.21,0.5497
53.03,1.01,56.80,27.33,15.87,0.3704
39.56,2.00,56.80,27.33,15.87,0.3704
41.34,3.01,56.80,27.33,15.87,0.3704
35.42,4.00,56.80,27.33,15.87,0.3704
30.80,5.00,56.80,27.33,15.87,0.3704
26.82,6.02,56.80,27.33,15.87,0.3704
16.15,6.99,56.80,27.33,15.87,0.3704
22.42,7.99,56.80,27.33,15.87,0.3704
19.48,8.99,56.80,27.33,15.87,0.3704
18.65,10.02,56.80,27.33,15.87,0.3704
42.61,1.01,49.27,39.82,10.91,0.3704
27.29,2.00,49.27,39.82,10.91,0.3704
18.04,3.01,49.27,39.82,10.91,0.3704
20.76,4.00,49.27,39.82,10.91,0.3704
9.39,5.00,49.27,39.82,10.91,0.3704
11.96,6.02,49.27,39.82,10.91,0.3704
2.86,6.99,49.27,39.82,10.91,0.3704
10.76,7.99,49.27,39.82,10.91,0.3704
10.45,8.99,49.27,39.82,10.91,0.3704
14.82,10.02,49.27,39.82,10.91,0.3704
73.43,1.01,36.24,44.58,19.18,0.3704
60.01,2.00,36.24,44.58,19.18,0.3704
40.67,3.01,36.24,44.58,19.18,0.3704
40.22,4.00,36.24,44.58,19.18,0.3704
39.50,5.00,36.24,44.58,19.18,0.3704
38.06,6.02,36.24,44.58,19.18,0.3704
31.27,6.99,36.24,44.58,19.18,0.3704
25.56,7.99,36.24,44.58,19.18,0.3704
27.01,8.99,36.24,44.58,19.18,0.3704
20.34,10.02,36.24,44.58,19.18,0.3704
61.14,1.01,37.11,39.38,23.51,0.3704
47.85,2.00,37.11,39.38,23.51,0.3704
50.13,3.01,37.11,39.38,23.51,0.3704
33.11,4.00,37.11,39.38,23.51,0.3704
29.20,5.00,37.11,39.38,23.51,0.3704
27.80,6.02,37.11,39.38,23.51,0.3704
18.68,6.99,37.11,39.38,23.51,0.3704
24.06,7.99,37.11,39.38,23.51,0.3704
15.22,8.99,37.11,39.38,23.51,0.3704
19.22,10.02,37.11,39.38,23.51,0.3704
69.34,1.01,37.41,35.92,26.67,0.3704
64.01,2.00,37.41,35.92,26.67,0.3704
52.31,3.01,37.41,35.92,26.67,0.3704
40.33,4.00,37.41,35.92,26.67,0.3704
29.52,5.00,37.41,35.92,26.67,0.3704
45.06,6.02,37.41,35.92,26.67,0.3704
14.43,6.99,37.41,35.92,26.67,0.3704
23.21,7.99,37.41,35.92,26.67,0.3704
16.11,8.99,37.41,35.92,26.67,0.3704
22.60,10.02,37.41,35.92,26.67,0.3704
78.83,1.01,10.64,73.15,16.21,0.3704
60.69,2.00,10.64,73.15,16.21,0.3704
47.83,3.01,10.64,73.15,16.21,0.3704
36.29,4.00,10.64,73.15,16.21,0.3704
22.11,5.00,10.64,73.15,16.21,0.3704
24.10,6.02,10.64,73.15,16.21,0.3704
9.23,6.99,10.64,73.15,16.21,0.3704
23.43,7.99,10.64,73.15,16.21,0.3704
6.36,8.99,10.64,73.15,16.21,0.3704
72.32,0.99,22.40,67.06,10.54,0.3706
46.07,1.99,22.40,67.06,10.54,0.3706
46.68,3.01,22.40,67.06,10.54,0.3706
40.40,4.02,22.40,67.06,10.54,0.3706
27.26,5.02,22.40,67.06,10.54,0.3706
26.16,6.01,22.40,67.06,10.54,0.3706
24.90,7.00,22.40,67.06,10.54,0.3706
18.95,8.04,22.40,67.06,10.54,0.3706
24.59,9.00,22.40,67.06,10.54,0.3706
20.98,10.03,22.40,67.06,10.54,0.3706
81.38,0.99,31.72,52.15,16.13,0.3706
66.86,1.99,31.72,52.15,16.13,0.3706
41.83,3.01,31.72,52.15,16.13,0.3706
35.24,4.02,31.72,52.15,16.13,0.3706
34.35,5.02,31.72,52.15,16.13,0.3706
30.80,6.01,31.72,52.15,16.13,0.3706
32.83,7.00,31.72,52.15,16.13,0.3706
23.46,8.04,31.72,52.15,16.13,0.3706
29.37,9.00,31.72,52.15,16.13,0.3706
17.78,10.03,31.72,52.15,16.13,0.3706
81.47,0.99,29.15,35.94,34.90,0.3706
74.42,1.99,29.15,35.94,34.90,0.3706
61.33,3.01,29.15,35.94,34.90,0.3706
61.31,4.02,29.15,35.94,34.90,0.3706
51.91,5.02,29.15,35.94,34.90,0.3706
47.90,6.01,29.15,35.94,34.90,0.3706
43.27,7.00,29.15,35.94,34.90,0.3706
46.81,8.04,29.15,35.94,34.90,0.3706
50.25,9.00,29.15,35.94,34.90,0.3706
44.13,10.03,29.15,35.94,34.90,0.3706
45.72,1.02,22.40,67.06,10.54,0.4832
37.29,2.08,22.40,67.06,10.54,0.4832
29.06,3.04,22.40,67.06,10.54,0.4832
32.25,4.01,22.40,67.06,10.54,0.4832
21.55,5.01,22.40,67.06,10.54,0.4832
19.66,5.99,22.40,67.06,10.54,0.4832
7.29,6.99,22.40,67.06,10.54,0.4832
15.67,8.98,22.40,67.06,10.54,0.4832
68.17,1.02,31.72,52.15,16.13,0.4832
63.27,2.08,31.72,52.15,16.13,0.4832
36.39,3.04,31.72,52.15,16.13,0.4832
29.78,4.01,31.72,52.15,16.13,0.4832
17.59,5.01,31.72,52.15,16.13,0.4832
27.84,5.99,31.72,52.15,16.13,0.4832
25.50,6.99,31.72,52.15,16.13,0.4832
16.72,8.01,31.72,52.15,16.13,0.4832
20.74,8.98,31.72,52.15,16.13,0.4832
4.78,10.04,31.72,52.15,16.13,0.4832
77.61,1.02,29.15,35.94,34.90,0.4832
72.30,2.08,29.15,35.94,34.90,0.4832
67.13,3.04,29.15,35.94,34.90,0.4832
65.71,4.01,29.15,35.94,34.90,0.4832
63.68,5.01,29.15,35.94,34.90,0.4832
46.76,5.99,29.15,35.94,34.90,0.4832
48.79,6.99,29.15,35.94,34.90,0.4832
32.28,8.01,29.15,35.94,34.90,0.4832
32.48,8.98,29.15,35.94,34.90,0.4832
31.79,10.04,29.15,35.94,34.90,0.4832
78.44,1.28,22.40,67.06,10.54,0.2435
33.41,2.02,22.40,67.06,10.54,0.2435
29.97,3.01,22.40,67.06,10.54,0.2435
11.51,4.00,22.40,67.06,10.54,0.2435
35.29,5.03,22.40,67.06,10.54,0.2435
29.82,6.00,22.40,67.06,10.54,0.2435
21.32,6.36,22.40,67.06,10.54,0.2435
26.54,8.03,22.40,67.06,10.54,0.2435
38.64,9.01,22.40,67.06,10.54,0.2435
29.71,10.03,22.40,67.06,10.54,0.2435
80.54,1.28,31.72,52.15,16.13,0.2435
53.58,2.02,31.72,52.15,16.13,0.2435
47.82,3.01,31.72,52.15,16.13,0.2435
44.19,4.00,31.72,52.15,16.13,0.2435
30.30,5.03,31.72,52.15,16.13,0.2435
34.88,6.00,31.72,52.15,16.13,0.2435
30.82,6.36,31.72,52.15,16.13,0.2435
49.72,8.03,31.72,52.15,16.13,0.2435
40.93,9.01,31.72,52.15,16.13,0.2435
35.30,10.03,31.72,52.15,16.13,0.2435
87.54,1.28,29.15,35.94,34.90,0.2435
72.13,2.02,29.15,35.94,34.90,0.2435
69.79,3.01,29.15,35.94,34.90,0.2435
60.33,4.00,29.15,35.94,34.90,0.2435
82.67,5.03,29.15,35.94,34.90,0.2435
71.45,6.00,29.15,35.94,34.90,0.2435
67.57,6.36,29.15,35.94,34.90,0.2435
67.59,8.03,29.15,35.94,34.90,0.2435
64.64,9.01,29.15,35.94,34.90,0.2435
70.43,10.03,29.15,35.94,34.90,0.2435
45.44,1.00,22.40,67.06,10.54,0.701
38.72,2.02,22.40,67.06,10.54,0.701
22.83,3.02,22.40,67.06,10.54,0.701
19.14,4.01,22.40,67.06,10.54,0.701
22.59,5.03,22.40,67.06,10.54,0.701
12.39,6.03,22.40,67.06,10.54,0.701
8.73,7.07,22.40,67.06,10.54,0.701
9.47,8.04,22.40,67.06,10.54,0.701
12.61,9.03,22.40,67.06,10.54,0.701
10.08,10.22,22.40,67.06,10.54,0.701
59.59,1.00,31.72,52.15,16.13,0.701
53.46,2.02,31.72,52.15,16.13,0.701
41.39,3.02,31.72,52.15,16.13,0.701
33.06,4.01,31.72,52.15,16.13,0.701
18.34,5.03,31.72,52.15,16.13,0.701
21.46,6.03,31.72,52.15,16.13,0.701
15.36,7.07,31.72,52.15,16.13,0.701
14.56,8.04,31.72,52.15,16.13,0.701
20.90,9.03,31.72,52.15,16.13,0.701
74.64,1.00,29.15,35.94,34.90,0.701
71.92,2.02,29.15,35.94,34.90,0.701
60.86,3.02,29.15,35.94,34.90,0.701
53.99,4.01,29.15,35.94,34.90,0.701
55.41,5.03,29.15,35.94,34.90,0.701
50.33,6.03,29.15,35.94,34.90,0.701
45.56,7.07,29.15,35.94,34.90,0.701
32.73,8.04,29.15,35.94,34.90,0.701
42.24,9.03,29.15,35.94,34.90,0.701
42.60,10.22,29.15,35.94,34.90,0.701
65.24,1.02,22.40,67.06,10.54,0.4628
38.86,2.05,22.40,67.06,10.54,0.4628
31.08,3.03,22.40,67.06,10.54,0.4628
30.48,3.99,22.40,67.06,10.54,0.4628
20.01,5.00,22.40,67.06,10.54,0.4628
10.88,6.00,22.40,67.06,10.54,0.4628
66.00,1.02,31.72,52.15,16.13,0.4628
58.30,2.05,31.72,52.15,16.13,0.4628
50.35,3.03,31.72,52.15,16.13,0.4628
40.80,3.99,31.72,52.15,16.13,0.4628
34.70,5.00,31.72,52.15,16.13,0.4628
19.10,6.00,31.72,52.15,16.13,0.4628
77.39,1.02,29.15,35.94,34.90,0.4628
69.73,2.05,29.15,35.94,34.90,0.4628
70.98,3.03,29.15,35.94,34.90,0.4628
61.10,3.99,29.15,35.94,34.90,0.4628
55.16,5.00,29.15,35.94,34.90,0.4628
44.54,6.00,29.15,35.94,34.90,0.4628
59.82,1.01,22.40,67.06,10.54,0.4197
