Species	Lake	Age	Year	Season
CP	Lamoka	1	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	3	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	3	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	3	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	2	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	0	2004	Fall
CP	Lamoka	3	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	1	2004	Fall
CP	Lamoka	3	2005	Fall
CP	Lamoka	3	2005	Fall
CP	Lamoka	3	2005	Fall
CP	Lamoka	4	2005	Fall
CP	Lamoka	2	2005	Fall
CP	Lamoka	2	2005	Fall
CP	Lamoka	3	2005	Fall
CP	Lamoka	3	2005	Fall
CP	Lamoka	2	2005	Fall
CP	Lamoka	3	2005	Fall
CP	Lamoka	2	2005	Fall
CP	Lamoka	3	2005	Fall
CP	Lamoka	1	2005	Fall
CP	Lamoka	1	2005	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	5	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	2	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	4	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	3	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	0	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	1	2006	Fall
CP	Lamoka	2	2007	Fall
CP	Lamoka	4	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	5	2007	Fall
CP	Lamoka	4	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	4	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	2	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	4	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	2	2007	Fall
CP	Lamoka	2	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	2	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	3	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	1	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	0	2007	Fall
CP	Lamoka	4	2008	Fall
CP	Lamoka	3	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	4	2008	Fall
CP	Lamoka	0	2008	Fall
CP	Lamoka	3	2008	Fall
CP	Lamoka	3	2008	Fall
CP	Lamoka	1	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	5	2008	Fall
CP	Lamoka	1	2008	Fall
CP	Lamoka	3	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	3	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	1	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	3	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	1	2008	Fall
CP	Lamoka	1	2008	Fall
CP	Lamoka	2	2008	Fall
CP	Lamoka	1	2008	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	1	2009	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	2	2009	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	3	2009	Fall
CP	Lamoka	0	2009	Fall
CP	Lamoka	2	2009	Fall
CP	Lamoka	1	2009	Fall
CP	Lamoka	1	2009	Fall
CP	Lamoka	1	2009	Fall
CP	Lamoka	1	2009	Fall
CP	Lamoka	4	2009	Fall
CP	Lamoka	2	2009	Fall
CP	Lamoka	2	2009	Fall
CP	Lamoka	2	2009	Fall
PKS	Lamoka	2	2004	Spring
PKS	Lamoka	3	2004	Spring
PKS	Lamoka	4	2004	Spring
PKS	Lamoka	6	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	6	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	6	2004	Spring
PKS	Lamoka	6	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	5	2004	Spring
PKS	Lamoka	3	2005	Spring
PKS	Lamoka	4	2005	Spring
PKS	Lamoka	3	2005	Spring
PKS	Lamoka	4	2005	Spring
PKS	Lamoka	6	2005	Spring
PKS	Lamoka	6	2005	Spring
PKS	Lamoka	7	2005	Spring
PKS	Lamoka	5	2005	Spring
PKS	Lamoka	7	2005	Spring
PKS	Lamoka	7	2005	Spring
PKS	Lamoka	6	2005	Spring
PKS	Lamoka	5	2005	Spring
PKS	Lamoka	2	2006	Spring
PKS	Lamoka	4	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	4	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	3	2006	Spring
PKS	Lamoka	4	2006	Spring
PKS	Lamoka	5	2006	Spring
PKS	Lamoka	4	2006	Spring
PKS	Lamoka	5	2006	Spring
PKS	Lamoka	5	2006	Spring
PKS	Lamoka	4	2006	Spring
PKS	Lamoka	5	2006	Spring
PKS	Lamoka	4	2006	Spring
PKS	Lamoka	4	2006	Spring
PKS	Lamoka	5	2006	Spring
PKS	Lamoka	5	2006	Spring
PKS	Lamoka	5	2006	Spring
PKS	Lamoka	7	2006	Spring
PKS	Lamoka	6	2006	Spring
PKS	Lamoka	8	2006	Spring
PKS	Lamoka	7	2006	Spring
PKS	Lamoka	6	2006	Spring
PKS	Lamoka	6	2006	Spring
PKS	Lamoka	7	2006	Spring
PKS	Lamoka	6	2006	Spring
PKS	Lamoka	6	2006	Spring
PKS	Lamoka	6	2006	Spring
PKS	Lamoka	7	2006	Spring
PKS	Lamoka	6	2006	Spring
PKS	Lamoka	2	2003	Fall
PKS	Lamoka	2	2003	Fall
PKS	Lamoka	4	2003	Fall
PKS	Lamoka	4	2003	Fall
PKS	Lamoka	4	2003	Fall
PKS	Lamoka	6	2003	Fall
PKS	Lamoka	6	2003	Fall
PKS	Lamoka	4	2003	Fall
PKS	Lamoka	5	2003	Fall
PKS	Lamoka	0	2004	Fall
PKS	Lamoka	0	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	1	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	3	2004	Fall
PKS	Lamoka	2	2004	Fall
PKS	Lamoka	4	2004	Fall
PKS	Lamoka	4	2004	Fall
PKS	Lamoka	3	2004	Fall
PKS	Lamoka	4	2004	Fall
PKS	Lamoka	5	2004	Fall
PKS	Lamoka	4	2004	Fall
PKS	Lamoka	4	2004	Fall
PKS	Lamoka	4	2004	Fall
PKS	Lamoka	5	2004	Fall
PKS	Lamoka	4	2004	Fall
PKS	Lamoka	6	2004	Fall
PKS	Lamoka	6	2004	Fall
PKS	Lamoka	6	2004	Fall
PKS	Lamoka	5	2004	Fall
PKS	Lamoka	2	2006	Fall
PKS	Lamoka	2	2006	Fall
PKS	Lamoka	2	2006	Fall
PKS	Lamoka	2	2006	Fall
PKS	Lamoka	2	2006	Fall
PKS	Lamoka	2	2006	Fall
PKS	Lamoka	3	2006	Fall
PKS	Lamoka	3	2006	Fall
PKS	Lamoka	3	2006	Fall
PKS	Lamoka	3	2006	Fall
PKS	Lamoka	3	2006	Fall
PKS	Lamoka	4	2006	Fall
PKS	Lamoka	3	2006	Fall
PKS	Lamoka	4	2006	Fall
PKS	Lamoka	3	2006	Fall
PKS	Lamoka	5	2006	Fall
PKS	Lamoka	4	2006	Fall
PKS	Lamoka	6	2006	Fall
PKS	Lamoka	5	2006	Fall
PKS	Lamoka	5	2006	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	1	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	1	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	3	2007	Fall
PKS	Lamoka	3	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	3	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	2	2007	Fall
PKS	Lamoka	3	2007	Fall
PKS	Lamoka	3	2007	Fall
PKS	Lamoka	3	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	3	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	6	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	5	2007	Fall
PKS	Lamoka	5	2007	Fall
PKS	Lamoka	5	2007	Fall
PKS	Lamoka	5	2007	Fall
PKS	Lamoka	7	2007	Fall
PKS	Lamoka	4	2007	Fall
PKS	Lamoka	1	2008	Fall
PKS	Lamoka	1	2008	Fall
PKS	Lamoka	1	2008	Fall
PKS	Lamoka	1	2008	Fall
PKS	Lamoka	1	2008	Fall
PKS	Lamoka	1	2008	Fall
PKS	Lamoka	2	2008	Fall
PKS	Lamoka	2	2008	Fall
PKS	Lamoka	2	2008	Fall
PKS	Lamoka	2	2008	Fall
PKS	Lamoka	3	2008	Fall
PKS	Lamoka	2	2008	Fall
PKS	Lamoka	3	2008	Fall
PKS	Lamoka	4	2008	Fall
PKS	Lamoka	5	2008	Fall
PKS	Lamoka	5	2008	Fall
PKS	Lamoka	5	2008	Fall
PKS	Lamoka	6	2008	Fall
PKS	Lamoka	5	2008	Fall
PKS	Lamoka	5	2008	Fall
PKS	Lamoka	1	2009	Fall
PKS	Lamoka	1	2009	Fall
PKS	Lamoka	1	2009	Fall
PKS	Lamoka	2	2009	Fall
PKS	Lamoka	2	2009	Fall
PKS	Lamoka	2	2009	Fall
PKS	Lamoka	2	2009	Fall
PKS	Lamoka	2	2009	Fall
PKS	Lamoka	2	2009	Fall
PKS	Lamoka	3	2009	Fall
PKS	Lamoka	3	2009	Fall
PKS	Lamoka	3	2009	Fall
PKS	Lamoka	4	2009	Fall
PKS	Lamoka	3	2009	Fall
PKS	Lamoka	3	2009	Fall
PKS	Lamoka	4	2009	Fall
PKS	Lamoka	6	2009	Fall
PKS	Lamoka	4	2009	Fall
PKS	Lamoka	5	2009	Fall
PKS	Lamoka	4	2009	Fall
PKS	Lamoka	4	2009	Fall
PKS	Lamoka	5	2009	Fall
PKS	Waneta	3	2003	Spring
PKS	Waneta	4	2003	Spring
PKS	Waneta	4	2003	Spring
PKS	Waneta	4	2003	Spring
PKS	Waneta	5	2003	Spring
PKS	Waneta	5	2003	Spring
PKS	Waneta	6	2003	Spring
PKS	Waneta	6	2003	Spring
PKS	Waneta	5	2003	Spring
PKS	Waneta	5	2003	Spring
PKS	Waneta	6	2003	Spring
PKS	Waneta	6	2003	Spring
PKS	Waneta	6	2003	Spring
PKS	Waneta	5	2003	Spring
PKS	Waneta	2	2004	Spring
PKS	Waneta	3	2004	Spring
PKS	Waneta	5	2004	Spring
PKS	Waneta	3	2004	Spring
PKS	Waneta	4	2004	Spring
PKS	Waneta	4	2004	Spring
PKS	Waneta	4	2004	Spring
PKS	Waneta	4	2004	Spring
PKS	Waneta	5	2004	Spring
PKS	Waneta	4	2004	Spring
PKS	Waneta	4	2004	Spring
PKS	Waneta	6	2004	Spring
PKS	Waneta	6	2004	Spring
PKS	Waneta	5	2004	Spring
PKS	Waneta	5	2004	Spring
PKS	Waneta	3	2004	Spring
PKS	Waneta	4	2004	Spring
PKS	Waneta	6	2004	Spring
PKS	Waneta	5	2004	Spring
PKS	Waneta	6	2005	Spring
PKS	Waneta	6	2005	Spring
PKS	Waneta	6	2005	Spring
PKS	Waneta	4	2005	Spring
PKS	Waneta	5	2005	Spring
PKS	Waneta	3	2005	Spring
PKS	Waneta	5	2005	Spring
PKS	Waneta	6	2005	Spring
PKS	Waneta	6	2005	Spring
PKS	Waneta	8	2005	Spring
PKS	Waneta	9	2005	Spring
PKS	Waneta	5	2006	Spring
PKS	Waneta	6	2006	Spring
PKS	Waneta	6	2006	Spring
PKS	Waneta	1	2003	Fall
PKS	Waneta	1	2003	Fall
PKS	Waneta	1	2003	Fall
PKS	Waneta	2	2003	Fall
PKS	Waneta	1	2003	Fall
PKS	Waneta	1	2003	Fall
PKS	Waneta	2	2003	Fall
PKS	Waneta	2	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	4	2003	Fall
PKS	Waneta	4	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	4	2003	Fall
PKS	Waneta	3	2003	Fall
PKS	Waneta	4	2003	Fall
PKS	Waneta	4	2003	Fall
PKS	Waneta	4	2003	Fall
PKS	Waneta	5	2003	Fall
PKS	Waneta	7	2003	Fall
PKS	Waneta	4	2003	Fall
PKS	Waneta	1	2004	Fall
PKS	Waneta	3	2004	Fall
PKS	Waneta	2	2004	Fall
PKS	Waneta	2	2004	Fall
PKS	Waneta	3	2004	Fall
PKS	Waneta	4	2004	Fall
PKS	Waneta	2	2004	Fall
PKS	Waneta	2	2004	Fall
PKS	Waneta	5	2004	Fall
PKS	Waneta	4	2004	Fall
PKS	Waneta	4	2004	Fall
PKS	Waneta	5	2004	Fall
PKS	Waneta	5	2004	Fall
PKS	Waneta	5	2004	Fall
PKS	Waneta	5	2004	Fall
PKS	Waneta	5	2004	Fall
PKS	Waneta	6	2004	Fall
PKS	Waneta	6	2004	Fall
PKS	Waneta	6	2004	Fall
PKS	Waneta	1	2005	Fall
PKS	Waneta	1	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	2	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	2	2005	Fall
PKS	Waneta	2	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	3	2005	Fall
PKS	Waneta	5	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	5	2005	Fall
PKS	Waneta	4	2005	Fall
PKS	Waneta	5	2005	Fall
PKS	Waneta	5	2005	Fall
PKS	Waneta	5	2005	Fall
PKS	Waneta	1	2006	Fall
PKS	Waneta	1	2006	Fall
PKS	Waneta	2	2006	Fall
PKS	Waneta	1	2006	Fall
PKS	Waneta	3	2006	Fall
PKS	Waneta	3	2006	Fall
PKS	Waneta	3	2006	Fall
PKS	Waneta	4	2006	Fall
PKS	Waneta	5	2006	Fall
PKS	Waneta	5	2006	Fall
PKS	Waneta	4	2006	Fall
PKS	Waneta	5	2006	Fall
PKS	Waneta	5	2006	Fall
PKS	Waneta	5	2006	Fall
PKS	Waneta	0	2007	Fall
PKS	Waneta	0	2007	Fall
PKS	Waneta	0	2007	Fall
PKS	Waneta	0	2007	Fall
PKS	Waneta	0	2007	Fall
PKS	Waneta	2	2007	Fall
PKS	Waneta	2	2007	Fall
PKS	Waneta	3	2007	Fall
PKS	Waneta	1	2007	Fall
PKS	Waneta	3	2007	Fall
PKS	Waneta		2007	Fall
PKS	Waneta	2	2008	Fall
PKS	Waneta	1	2008	Fall
PKS	Waneta	2	2008	Fall
PKS	Waneta	1	2008	Fall
PKS	Waneta	2	2008	Fall
PKS	Waneta	2	2008	Fall
PKS	Waneta	2	2008	Fall
PKS	Waneta	2	2008	Fall
PKS	Waneta	3	2008	Fall
PKS	Waneta	5	2008	Fall
PKS	Waneta	3	2008	Fall
PKS	Waneta	4	2008	Fall
PKS	Waneta	4	2008	Fall
PKS	Waneta	5	2008	Fall
PKS	Waneta	5	2008	Fall
PKS	Waneta	5	2009	Fall
PKS	Waneta	3	2009	Fall
PKS	Waneta	3	2009	Fall
BG	Lamoka	2	2004	Spring
BG	Lamoka	2	2004	Spring
BG	Lamoka	2	2004	Spring
BG	Lamoka	2	2004	Spring
BG	Lamoka	2	2004	Spring
BG	Lamoka	2	2004	Spring
BG	Lamoka	3	2004	Spring
BG	Lamoka	3	2004	Spring
BG	Lamoka	3	2004	Spring
BG	Lamoka	3	2004	Spring
BG	Lamoka	3	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	3	2004	Spring
BG	Lamoka	3	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	5	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	6	2004	Spring
BG	Lamoka	7	2004	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	2	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	3	2005	Spring
BG	Lamoka	3	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	3	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	3	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	3	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	5	2005	Spring
BG	Lamoka	5	2005	Spring
BG	Lamoka	5	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	4	2005	Spring
BG	Lamoka	7	2005	Spring
BG	Lamoka	8	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	7	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	7	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	6	2005	Spring
BG	Lamoka	8	2005	Spring
BG	Lamoka	5	2005	Spring
BG	Lamoka	8	2005	Spring
BG	Lamoka	1	2006	Spring
BG	Lamoka	1	2006	Spring
BG	Lamoka	2	2006	Spring
BG	Lamoka	2	2006	Spring
BG	Lamoka	2	2006	Spring
BG	Lamoka	2	2006	Spring
BG	Lamoka	2	2006	Spring
BG	Lamoka	1	2006	Spring
BG	Lamoka	1	2006	Spring
